time_h,bc_rate_frac,P_bar,T_C,subcooling_C,holdup,v_m_mps,f_slug_Hz,phi_hydrate,deposit_mm,Phi_SH
1.2479,1,120.96,24.707,-20.377,0.4723,2.38,0.13121,0,0,0.010985
1.2536,1,120.85,24.738,-20.415,0.46618,2.3907,0.13115,0,0,0.010598
1.2593,1,120.76,24.769,-20.452,0.46023,2.3945,0.1311,0,0,0.010259
1.265,1,120.68,24.801,-20.488,0.45453,2.3937,0.13106,0,0,0.0099692
1.2707,1,120.62,24.832,-20.523,0.44917,2.3903,0.13102,0,0,0.0097217
1.2765,1,120.58,24.863,-20.557,0.4442,2.3856,0.131,0,0,0.009511
1.2823,1,120.54,24.894,-20.591,0.43966,2.3805,0.13097,0,0,0.0093312
1.2882,1,120.51,24.925,-20.624,0.43556,2.3754,0.13095,0,0,0.0091773
1.294,1,120.48,24.955,-20.656,0.43193,2.3707,0.13093,0,0,0.0090451
1.2999,1,120.46,24.986,-20.688,0.42875,2.3664,0.13092,0,0,0.0089316
1.3058,1,120.44,25.016,-20.72,0.42603,2.3626,0.1309,0,0,0.0088343
1.3117,1,120.42,25.046,-20.751,0.42374,2.3592,0.13089,0,0,0.0087513
1.3176,1,120.41,25.076,-20.782,0.42186,2.3561,0.13087,0,0,0.0086813
1.3235,1,120.39,25.106,-20.813,0.42037,2.3532,0.13086,0,0,0.008623
1.3294,1,120.38,25.136,-20.844,0.41924,2.3505,0.13085,0,0,0.0085755
1.3353,1,120.37,25.166,-20.875,0.41843,2.3479,0.13084,0,0,0.0085379
1.3412,1,120.36,25.195,-20.905,0.41793,2.3453,0.13083,0,0,0.0085094
1.3472,1,120.35,25.225,-20.935,0.41768,2.3428,0.13082,0,0,0.0084895
1.3531,1,120.35,25.255,-20.965,0.41766,2.3404,0.13081,0,0,0.0084773
1.359,1,120.35,25.284,-20.994,0.41789,2.3321,0.13081,0,0,0.0084948
1.3649,1,120.37,25.313,-21.022,0.41836,2.3209,0.13081,0,0,0.0085424
1.3708,1,120.39,25.342,-21.051,0.41904,2.3153,0.13082,0,0,0.0085916
1.3768,1,120.41,25.372,-21.079,0.41996,2.3107,0.13082,0,0,0.0086448
1.3827,1,120.42,25.401,-21.107,0.42114,2.3071,0.13082,0,0,0.0087023
1.3887,1,120.44,25.43,-21.135,0.42263,2.3038,0.13082,0,0,0.008765
1.3947,1,120.45,25.46,-21.164,0.42445,2.301,0.13082,0,0,0.0088335
1.4007,1,120.46,25.489,-21.192,0.42661,2.2983,0.13082,0,0,0.0089087
1.4068,1,120.48,25.519,-21.221,0.42914,2.2959,0.13082,0,0,0.0089907
